Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),MAT,MWMT,MCMT,DD_0,DD5,DD_18,DD18,NFFD,Mean_depth,Max_depth,Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort.ha,CaughtFish,Caught.ha,CPUE,Other_Info,Classification,Fetch..m.,Minimum Travel Time,Guiding,Provincial.Park.Campgrounds.and.Rec.Sites,Private.Lots,Lodges.and.Marinas,Permits.and.Leases.for.Camps.and.Cabins,Indian.Reserves,FN.netting,Comment,Exploitation_Rank,Road.Surface,ROAD_ACCES,Distance.to.Nearest.Road..m.,Time.to.Nearest.Road..minutes.,ROAD_NAM_1,Length.of.Nearest.Road.Segment..m.,ROAD_CLASS
Dease Lake,01411DEAL,Skeena,-130.0545743,58.50351778,753,5212.494808,-0.6,12.8,-16.7,1862,824,6776,9,126,26.01,NA,1.3557699,110,4.229142637,PR,NA,NA,NA,NA,NA,,,38752.39607,0.1,Yes,1,10,2,0,2,No,,5,loose,Known Road Acess,0,0.12,,79.25,unclassified
Deka Lake,00154BRID,Cariboo,-120.8059644,51.61942396,1111,1147.054603,3,13.6,-8.6,943,1033,5443,17,143,22,101.2,0.252352013,329,14.95454545,FR,NA,NA,NA,NA,NA,,,12021.1909,0.66,Yes,0,221,0,0,0,No,,2,loose,Known Road Acess,24.92,0.07,access road,59.68,recreation
Delta Lake,00684UJER,Skeena,-130.8155149,59.48984193,1141,347.3551423,-2.6,10.9,-17.4,2186,532,7494,3,106,9.86,NA,0.034249217,NA,NA,NR,NA,NA,NA,NA,NA,,,5529.351392,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Dem Lake,01586LTRE,Omineca,-124.4414316,54.76844235,804,223.4917141,1.8,13.9,-12,1293,1006,5881,16,146,10.02,NA,0.02239387,226,22.55489022,FR,NA,NA,NA,NA,NA,,,2366.078784,1.55,Yes,1,0,0,0,0,No,,2,loose,Known Road Acess,5.88,0.64,,428.01,unclassified
Dezadeash,YT_Dezadeash,Yukon,-136.999195,60.4569,702,8250,-2.1,12.3,-17.3,2220,686,7326,6,107,4.1,6,0.337,71,17.31707317,PR,3037,0.368121212,972,0.117818182,0.320052684,Fishing Lodge  ,Special Management Water,19442.82784,0.57,Yes,Yes,Yes,Yes,Yes,No,No,"Large lake, high yield, large population, easy access, high pressure, vulnerable",5,Unpaved,Known Road Acess,68.94,1.01,None,504.16,Local / Str*
Dixie Lake,01095ATLL,Skeena,-133.3068356,59.32724315,841,178.9047047,-1.6,11.8,-17.1,1952,641,7113,5,117,6,24,0.010734282,74,12.33333333,NR,NA,NA,NA,NA,NA,,,4021.587191,1.76,Yes,0,0,0,0,0,No,,2,rough,Possible Road Access,1284.72,3.58,,596.74,unclassified
Dogpack,YT_Dogpack,Yukon,-139.203365,61.6967,936,176,-3.4,11.6,-19.4,2491,569,7771,4,104,21.8,31,0.038,155,7.110091743,NR,NA,NA,NA,NA,NA,,General Regulations,3160.938299,NA,Yes,No,No,No,No,No,No,"Small lake, very low yield, small population, remote, likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
Doris Lake,00722BABL,Skeena,-126.5639737,54.9528657,880,106.6917525,1.9,12.8,-10.1,1110,865,5843,10,141,7,14.3,0.007468423,56,8,FR,NA,NA,NA,NA,NA,,,1811.995813,1.17,No,1,0,0,0,0,No,,3,loose,Known Road Acess,11.68,5.84,Babine Lake Rd,3894.32,local
Drury,YT_Drury,Yukon,-134.669816,62.3323,730,2700,-3.4,12.9,-22.6,2664,701,7768,7,105,54.7,96,1.477,80,1.462522852,NR,NA,NA,NA,NA,NA,Fishing Lodge  ,Conservation Water,22358.70811,NA,No,No,No,No,Yes,No,No,"Medium-large lake, moderate yield, medium-sized population, moderate pressure",2,NA,NA,NA,NA,NA,NA,NA
Dunn Lake,00596LNTH,Thompson,-120.1317738,51.43457706,460,355.7903825,6.4,18.4,-7,653,1769,4342,117,187,55,84.1,0.19568471,80,1.454545455,FR,NA,NA,NA,NA,NA,,,4806.958399,0.59,No,1,7,0,0,0,No,,4,paved,Known Road Acess,77.51,6.66,Dunn Lake Rd,5547.4,local
Duo,YT_Duo,Yukon,-132.102021,64.4964,1196,21,-6.7,10.1,-23.3,3366,369,8986,2,69,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,1427.921035,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Eaglehead Lake,01240MDEA,Skeena,-129.2326746,58.55508464,1173,330.2986489,-1.6,10.5,-14.6,1825,526,7119,3,106,10.15,30,0.033525313,30,2.955665025,NR,NA,NA,NA,NA,NA,"Probably fished, citation: http://www.hookandbullet.com/fishing-eaglehead-lake-dease-lake-bc/ and http://www.dhc-2.com/id867.htm",,5684.885172,NA,Yes,0,0,0,2,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Earn,YT_Earn,Yukon,-134.282128,62.8338,633,3553,-2.6,14.7,-23.3,2653,929,7497,17,123,19.2,58,0.682,125,6.510416667,NR,NA,NA,NA,NA,NA,,General Regulations,21576.16074,NA,No,No,No,No,No,No,No,"Medium-large lake, moderate yield, small population, remote, unknown pressure",1,NA,NA,NA,NA,NA,NA,NA
East Hautete Lake,00936TAKL,Omineca,-126.0408271,55.14298364,795,268.8391692,2.2,13.4,-10.8,1129,943,5761,13,147,5,12,0.013441958,62,12.4,NR,NA,NA,NA,NA,NA,,,3834.640398,3.62,Yes,0,0,0,0,0,No,,2,loose,Known Road Acess,149.98,0.72,,477.66,resource
Electra Lake,00658NATR,Omineca,-125.3509997,55.33443656,920,67.70439555,1.1,12.6,-11.7,1334,822,6144,9,135,14,31,0.009478615,50,3.571428571,NR,NA,NA,NA,NA,NA,,,1776.113648,3.98,No,0,0,0,0,0,No,,4,rough,Possible Road Access,505.29,5.43,,905.21,unclassified
Elliot Lake,00089MIDR,Omineca,-125.318878,55.04653033,885,760.6930797,1.7,13.3,-10.9,1228,917,5910,12,146,18,57,0.136924754,56,3.111111111,FR,NA,NA,NA,NA,NA,,,7971.31434,3.26,No,1,0,0,0,0,No,,4,loose,Known Road Acess,165.73,2.3,,1534.3,unclassified
Ess,YT_Ess,Yukon,-135.581524,62.4845,702,1330,-3.3,14.1,-24.2,2824,847,7759,12,114,1.9,2,0.025,102,53.68421053,NR,NA,NA,NA,NA,NA,no lake trout,General Regulations,5394.967091,NA,No,No,No,No,No,No,No,"Medium-size lake, moderate yield, small population, remote, unknown pressure ",1,NA,NA,NA,NA,NA,NA,NA
Ethyl,YT_Ethyl,Yukon,-136.081735,63.3684,764,4610,-4.1,13.7,-23.7,2973,765,8029,10,112,30.9,62,1.424,84.5,2.734627832,FR,2271,0.492624729,271,0.058785249,0.119330691,,Conservation Water,20465.8255,0.95,No,Yes,No,No,No,No,No,#N/A,3,Unpaved,Possible Road Access,500.83,52.05,Ethel Lake Road,26027,Local / Str*
Euchiniko 4 Lake,00298EUCL,Cariboo,-124.5943849,53.10646333,947,312.6147063,1.9,13,-10.6,1159,902,5846,11,126,11,32.5,0.034387618,68,6.181818182,NR,NA,NA,NA,NA,NA,,,7440.617687,3.97,No,0,0,0,0,0,No,,4,rough,Possible Road Access,1286.98,5.42,,903.75,unclassified
Eye Lake,00041MIDR,Omineca,-125.3308831,55.11493943,942,160.6184631,1.2,12.6,-10.9,1281,814,6100,9,139,7,27.2,0.011243292,60,8.571428571,NR,NA,NA,NA,NA,NA,,,2528.920277,3.18,No,0,0,0,0,0,No,,4,rough,Possible Road Access,360.7,9.48,,1579.82,unclassified
Fable Lake,01126UOMI,Omineca,-125.5903059,55.63087126,984,34.82889321,0,11.4,-13.5,1521,665,6544,5,118,3,5,0.001044867,46,15.33333333,FR,NA,NA,NA,NA,NA,,,1315.212922,6.41,No,0,0,0,1,0,No,,4,rough,Known Road Acess,55.33,28.25,,4707.67,unclassified
Fairweather,YT_Fairweather,Yukon,-132.433021,63.2192,914,1890,-3.4,13.2,-21.8,2685,731,7762,8,111,26.9,43,0.508,34,1.26394052,NR,NA,NA,NA,NA,NA,,General Regulations,11706.16255,NA,No,No,No,No,No,No,No,"Medium-size lake, moderate yield, unknown population size, remote, unknown pressure ",1,NA,NA,NA,NA,NA,NA,NA
Fantail Lake,00889TUTR,Skeena,-134.4436761,59.60401414,698,1109.181633,-0.6,12.3,-14.9,1711,703,6746,6,128,16.12,NA,0.178800079,NA,NA,NR,NA,NA,NA,NA,NA,,,12195.83905,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Fifth Lake,00101SWIR,Skeena,-130.8202231,59.92400656,1122,19.73031744,-3,10.5,-17.1,2264,483,7654,3,100,3.61,NA,0.000712264,NA,NA,NR,NA,NA,NA,NA,NA,,,1361.475882,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Finlayson,YT_Finlayson,Yukon,-130.642234,61.6919,966,2070,-3.9,12.4,-22.6,2783,644,7972,6,102,21.3,55,0.441,141,6.61971831,PR,NA,NA,NA,NA,NA,Small guiding operation,General Regulations,14482.99465,1.68,No,Yes,No,No,No,No,No,"Medium-size lake, moderate yield, medium-sized population, easy access, moderate pressure",3,Unpaved,Known Road Acess,32.01,0.21,None,103.49,Local / Str*
Fire,YT_Fire,Yukon,-130.558675,61.2055,1087,535,-4.6,10.1,-20.9,2758,428,8230,2,86,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,4915.070993,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Fish,YT_Fish,Yukon,-135.23789,60.6002,1119,1320,-2.1,11.3,-16.4,2046,559,7303,4,112,16.5,37,0.218,103,6.242424242,PR,2376,1.8,147,0.111363636,0.061868687,Historic net fishery,General Regulations,10928.77426,0.62,No,Yes,No,No,No,No,No,"Medium-size lake, moderate yield, medium-sized population, easy access, close to Whitehorse, high pressure",4,Unpaved,Known Road Acess,0,0.65,Fish Lake Road,327.12,Local / Str*
Fishing 1 Lake,00770TOOD,Omineca,-126.5577092,57.53204917,962,51.99982976,-0.6,12.5,-14.8,1766,746,6770,7,121,6.23,26.1,0.003239589,50,8.025682183,NR,NA,NA,NA,NA,NA,,,1469.524057,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Fishing Lake,00747LIAR,Peace,-126.6642986,59.48102752,546,350.1740554,-1.4,15,-20,2353,1035,7044,21,130,20,63,0.070034811,222,11.1,NR,NA,NA,NA,NA,NA,,,7336.345491,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Fortin,YT_Fortin,Yukon,-130.570804,61.9866,872,1498,-3.8,13.3,-23.6,2847,744,7909,8,110,17,32,0.255,174,10.23529412,NR,NA,NA,NA,NA,NA,Small guiding operation,General Regulations,8722.281368,NA,Yes,No,No,No,No,No,No,"Medium-size lake, moderate yield, medium-sized population, remote, moderate pressure ",2,NA,NA,NA,NA,NA,NA,NA
Fourth Lake,00136SWIR,Skeena,-130.7897381,59.91697276,1122,56.40493865,-3,10.4,-16.9,2249,474,7650,3,100,5.26,NA,0.0029669,NA,NA,NR,NA,NA,NA,NA,NA,,,1921.122549,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Fox ,YT_Fox,Yukon,-135.4693,61.2428,771,1602,-2.6,12.9,-19.5,2450,737,7501,8,111,28.6,47,0.458,265,9.265734266,PR,3277,2.04556804,321,0.200374532,0.097955447,,General Regulations,17296.61503,0.84,No,Yes,No,No,No,No,No,"Medium-size lake, moderate yield, medium-sized population, easy access, high pressure ",3,Unpaved,Known Road Acess,21.89,0.12,None,58.76,Local / Str*
Fox Lake,00161FOXR,Omineca,-126.0918633,57.81574496,944,114.3774804,-0.9,12.6,-15.7,1843,743,6877,7,116,11,24.7,0.012581523,134,12.18181818,NR,NA,NA,NA,NA,NA,,,2122.590564,NA,No,0,0,0,1,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Frances,YT_Frances,Yukon,-129.610765,61.388,734,9941,-3.9,13.2,-24.8,2908,753,7951,8,109,31.3,93,3.112,71,2.268370607,PR,2051,0.206317272,499,0.050196157,0.243295953,"Historic commercial fishery, Lodge lake",Conservation Water,37563.89768,2.19,No,Yes,No,No,No,No,No,"Large lake, moderate-high yield, large population, easy access, high pressure, recovering stock",3,Unpaved,Known Road Acess,28.98,0.31,None,152.83,Local / Str*
Francois Lake,00871FRAN,Skeena,-125.7412521,54.03548892,717,25163.9097,2.7,13.8,-10.4,1067,1033,5580,17,150,87,244.4,21.89260144,82,0.942528736,PR,NA,NA,NA,NA,NA,,,99824.63021,0.29,Yes,8,682,3,1,4,No,"Sandy's, Fraincois Lake, Stellako, Birch Bay, Nithi, Noralee resorts",5,loose,Known Road Acess,111.55,1.09,,728.39,unclassified
Frank,YT_Frank,Yukon,-135.402084,61.6985,661,586,-3.2,13.2,-20.7,2684,769,7701,9,104,17.7,50,0.104,281,15.87570621,NR,NA,NA,NA,NA,NA,Fishing Lodge  ,Conservation Water,5370.248785,NA,Yes,No,No,No,Yes,No,No,"Small lake, moderate-low yield, small population, remote, lodge lake, moderate pressure",2,NA,NA,NA,NA,NA,NA,NA
Fraser Lake,00699FRAN,Omineca,-124.6762257,54.0902113,676,5385.201848,2.7,14.6,-11.4,1148,1130,5565,23,150,13,30.5,0.70007624,100,7.692307692,PR,NA,NA,NA,NA,NA,,,19668.62734,0.05,No,3,406,1,0,4,No,Several boat launches; White Swan Park  boat launch and municipal campground(Fraser Lake); Piper's Glen Resortwith boat dock,5,rough,Known Road Acess,37.36,1.55,,257.52,unclassified
Fredrick,YT_Fredrick,Yukon,-136.665497,60.3903,722,445,-1.4,12,-14.3,1876,645,7063,5,111,22.6,43,0.101,74,3.274336283,NR,NA,NA,NA,NA,NA,,Conservation Water,11833.61091,NA,No,No,No,No,No,No,No,"Small lake, low yield, small popualtion size, relatively remote, likely low pressure",1,NA,NA,NA,NA,NA,NA,NA
Frenchmen,YT_Frenchmen,Yukon,-135.849086,62.1645,564,1438,-3.4,14.3,-24.6,2877,875,7778,14,115,16.8,65,0.242,279.5,16.63690476,PR,4564,3.173852573,157,0.109179416,0.034399649,,Conservation Water,17200.45621,1.03,No,Yes,No,No,No,No,No,"Medium-size lake, moderate yield, small population, easy access",3,Unpaved,Known Road Acess,27.82,1.38,None,689.92,Local / Str*
Friday Lake,00654TAKL,Omineca,-126.3501145,55.3404122,902,189.0935993,1.6,12.7,-10.9,1196,847,5963,10,139,13,17.5,0.024582168,40,3.076923077,NR,NA,NA,NA,NA,NA,,,3566.436038,4.33,No,0,0,0,0,0,No,,4,loose,Possible Road Access,4689.49,10.27,,6844.41,resource
Frog Lower Lake,00625FROG,Peace,-127.4155719,58.04094822,1006,142.8773318,-0.5,11.7,-13.6,1672,685,6728,6,117,7.39,NA,0.010558635,20,2.706359946,NR,NA,NA,NA,NA,NA,,,5132.855414,NA,No,0,0,0,1,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Frog Upper Lake,00628FROG,Peace,-127.3699805,58.04103531,1003,3.653744137,-0.4,11.8,-13.5,1660,691,6707,6,118,14,45.5,0.000511524,28,2,NR,NA,NA,NA,NA,NA,,,286.8909037,NA,Yes,0,0,0,1,0,No,angling guide cabin,2,NA,NA,NA,NA,NA,NA,NA
Gem Lake,00864UJER,Skeena,-130.6119089,59.4829673,1378,69.3658665,-2.8,9.8,-15.8,2129,421,7588,2,99,6.05,NA,0.004196635,NA,NA,NR,NA,NA,NA,NA,NA,,,2328.247725,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Gladstone - Central,YT_Gladstone - Central,Yukon,-138.053375,61.3852,1160,29,-4.3,10.6,-19.1,2691,461,8118,3,96,6.15,21,0.001,157,25.52845528,NR,NA,NA,NA,NA,NA,,General Regulations,1991.08259,NA,Yes,No,No,No,No,No,No,"Very small lake, very low yield, very small population, remote",2,NA,NA,NA,NA,NA,NA,NA
Gladstone - North,YT_Gladstone - North,Yukon,-138.14123,61.3504,1155,24,-4.1,10.9,-18.9,2644,492,8026,3,100,10.88,27,0.003,157,14.43014706,NR,NA,NA,NA,NA,NA,,General Regulations,1696.253207,NA,Yes,No,No,No,No,No,No,"Very small lake, very low yield, very small population, remote",2,NA,NA,NA,NA,NA,NA,NA
Gladstone - South,YT_Gladstone - South,Yukon,-138.099952,61.3753,1141,79,-4.1,11.2,-19.1,2701,516,8053,3,103,9.81,27,0.008,157,16.00407747,NR,NA,NA,NA,NA,NA,,General Regulations,1679.007415,NA,Yes,No,No,No,No,No,No,"Very small lake, very low yield, very small population, remote",2,NA,NA,NA,NA,NA,NA,NA
Gladys Lake,00367GLAR,Skeena,-132.8265101,59.84937973,871,7331.120795,-2.3,12,-18.6,2220,646,7377,5,110,33.28,NA,2.439797001,87,2.614182692,NR,NA,NA,NA,NA,NA,,,27867.94647,1.45,Yes,0,0,0,1,0,No,,2,rough,Possible Road Access,401.24,5.31,,885.38,unclassified
Gladys Lake,00227SPAT,Skeena,-128.8115407,57.60315782,1248,58.70601593,-1.1,9.8,-12.4,1621,472,6965,3,105,8,18.5,0.004696481,NA,NA,FR,NA,NA,NA,NA,NA,,,1195.755274,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Glenlyon,YT_Glenlyon,Yukon,-134.156298,62.4021,749,466,-2.9,14.1,-22.8,2652,843,7597,12,115,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,8372.805498,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Good Hope Lake,00048MDEA,Skeena,-129.2758878,59.30049012,758,184.149228,-0.7,13.5,-16.3,1954,874,6802,11,128,15,46.3,0.027622384,360,24,FR,NA,NA,NA,NA,NA,,,4377.927494,0.28,No,0,0,0,0,1,No,,4,loose,Known Road Acess,35.9,0.14,,90.21,unclassified
Goz (North),YT_Goz North,Yukon,-132.335176,64.5309,1214,17,-6.2,10.8,-23.1,3285,432,8814,2,78,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,973.209975,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Goz (South),YT_Goz South,Yukon,-132.349024,64.5224,1209,18,-6.3,10.6,-23.1,3298,418,8848,2,76,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,788.6993118,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Granite,YT_Granite,Yukon,-137.094085,60.6977,848,174,-1.6,12,-15.2,1951,616,7130,5,119,38,56,0.066,86,2.263157895,NR,NA,NA,NA,NA,NA,,Special Management Water,3855.496361,NA,Yes,No,No,No,Yes,No,No,"Small lake, very low yield, medium-sized population, remote, likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
Grass (Round),YT_Grass Round,Yukon,-130.840352,61.4396,1211,117,-4.7,10.7,-22.2,2819,470,8240,3,90,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,2102.994443,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Grass (West),YT_Grass West,Yukon,-130.982491,61.3964,1281,158,-5.5,9,-22.3,2911,319,8567,1,68,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,4195.603808,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Graveyard Lake,00072UKEC,Peace,-127.3752924,59.26170493,645,274.4147143,-1.2,14.4,-18.8,2217,973,6964,16,129,9.89,NA,0.027139615,324,32.760364,NR,NA,NA,NA,NA,NA,,,5595.022119,NA,No,0,0,0,1,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Graveyard Upper Lake,00025UKEC,Peace,-127.241069,59.29724437,665,90.69707558,-1.2,14.3,-18.9,2237,966,6996,16,128,6.74,NA,0.006112983,NA,NA,NR,NA,NA,NA,NA,NA,,,1960.645878,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Griffin Lake,00985SHUL,Thompson,-118.508771,50.96308538,467,60.00724212,6.3,18,-6,606,1761,4355,106,205,6.65,9.1,0.003990482,NA,NA,PR,NA,NA,NA,NA,NA,,,2043.551076,0.32,No,0,9,1,0,0,No,Griffin Lake Mountain Lodge,4,paved,Known Road Acess,85.52,1.35,Trans-Canada Hwy,2253.43,highway
Grizzly Lake,00514CARR,Cariboo,-120.9219101,52.82667252,1348,6.796184106,2,12.4,-9.1,1062,859,5830,9,144,3.14,NA,0.0002134,115,36.62420382,NR,NA,NA,NA,NA,NA,,,372.3439398,2.93,No,0,0,0,0,0,No,,4,rough,Known Road Acess,121.78,4.07,,678.75,unclassified
Gwillim Lake,00132MURR,Peace,-121.3527673,55.3546962,781,1071.879063,1.8,14.3,-11.8,1330,1065,5877,18,147,31,48,0.33228251,136,4.387096774,PR,NA,NA,NA,NA,NA,,,9760.78954,0.59,No,2,1,0,0,0,Yes,"may have been periodoc netting here by FN, provincial park campground and private camp on-site",4,loose,Known Road Acess,35.85,0.42,,281.46,unclassified
Hall Lake,00570GLAR,Skeena,-132.5250083,59.85249133,763,1688.912177,-1.9,12.5,-18.2,2163,715,7230,7,116,18.39,NA,0.310590949,NA,NA,NR,NA,NA,NA,NA,NA,,,12056.17763,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Hallett Lake,00145CHES,Omineca,-124.7736119,53.81727985,801,563.7642919,2.5,14.1,-10.8,1119,1046,5635,18,144,17,31,0.09583993,80,4.705882353,FR,NA,NA,NA,NA,NA,,,7201.029429,0.87,No,1,0,0,2,0,No,,3,rough,Known Road Acess,7.41,1.7,,282.77,unclassified
Hard Lake,00513TURN,Peace,-129.0718588,58.55838096,1224,306.6341734,-1.6,10.3,-14.3,1815,509,7134,3,105,9.11,NA,0.027934373,16,1.756311745,FR,NA,NA,NA,NA,NA,,,3395.487716,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Hatdudatehl Lake,00596LTRE,Omineca,-124.5352626,54.87750334,908,255.9906023,1.1,13,-11.9,1377,869,6142,11,137,9.51,NA,0.024344706,146,15.35226078,NR,NA,NA,NA,NA,NA,,,4896.774002,2.21,Yes,0,0,0,1,0,No,,2,rough,Known Road Acess,118.4,4.09,,681.22,unclassified
Hathaway Lake,00191BRID,Cariboo,-120.834673,51.65687802,1119,148.7423855,3,13.6,-8.6,946,1027,5454,16,142,20,45.1,0.029748477,480,24,FR,NA,NA,NA,NA,NA,,,3481.208528,0.71,No,0,17,1,0,0,No,,4,rough,Known Road Acess,25.88,1.6,,267.03,unclassified
Hautete 9607 Lake,00856TAKL,Omineca,-126.1912477,55.22185087,859,56.25803053,1.8,12.9,-10.8,1157,874,5880,11,141,5,15.1,0.002812902,52,10.4,NR,NA,NA,NA,NA,NA,,,2052.94276,3.91,No,0,0,0,0,0,No,,4,loose,Possible Road Access,309.94,1.57,,1047.55,unclassified
Hautete Lake,00894TAKL,Omineca,-126.1496477,55.18610638,856,227.1696012,1.9,13,-10.8,1150,887,5856,11,142,7,17.5,0.015901872,61,8.714285714,NR,NA,NA,NA,NA,NA,,,3169.078299,3.85,Yes,0,0,0,0,0,No,,2,rough,Known Road Acess,173.9,7.5,,1250.13,unclassified
Hill-Tout Lake,01245FRAN,Skeena,-126.9899314,53.96374494,968,51.78545621,1.7,12.2,-9.8,1138,810,5944,9,137,4,13,0.002071418,64,16,FR,NA,NA,NA,NA,NA,,,2100.980685,1.88,No,0,0,0,0,0,No,,3,loose,Known Road Acess,109.77,1.25,,834.38,unclassified
Hook Lake,00778SWIR,Skeena,-131.1222401,59.70360761,1277,345.4944037,-2.8,9.8,-14.7,2078,413,7554,2,98,9.41,46,0.032511023,38,4.038257173,NR,NA,NA,NA,NA,NA,,,5664.496101,NA,Yes,0,0,0,1,0,No,outfitter cabin non-tenured,2,NA,NA,NA,NA,NA,NA,NA
Horneline Lake,00234UKEC,Peace,-127.1059315,59.08229059,868,198.1363354,-1.3,13.1,-17.4,2097,834,7000,10,123,5,10,0.009906817,230,46,FR,NA,NA,NA,NA,NA,,,4582.624306,NA,No,0,0,0,1,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Horse Lake,00378BRID,Cariboo,-121.1077757,51.58750422,991,1215.459365,3.4,14.2,-8.7,916,1119,5306,21,145,15,34.4,0.182318905,201,13.4,PR,NA,NA,NA,NA,NA,,,12388.89958,0.36,Yes,0,286,1,0,0,No,Bonanza Resort,4,loose,Known Road Acess,25.19,0.14,,91.44,unclassified
Horsefly Lake,00018HORS,Cariboo,-121.0348369,52.40674908,787,5782.129802,4.3,15.4,-8.3,826,1291,5003,34,160,66,190.5,3.816205669,99,1.5,PR,NA,NA,NA,NA,NA,,,41081.27511,1.48,No,1,219,0,0,0,No,,3,loose,Known Road Acess,38.04,0.43,,286.77,unclassified
Horseranch Lake,01168DEAR,Skeena,-129.0097428,59.53432987,710,329.6379325,-1.2,13.9,-18.2,2158,905,6983,13,128,14,50,0.046149311,217,15.5,NR,NA,NA,NA,NA,NA,,,4902.772992,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Howard (Lower),YT_Howard Lower,Yukon,-136.813734,60.2256,861,59,-1,12.4,-14.2,1792,695,6903,6,121,6.15,15,0.004,157,25.52845528,NR,NA,NA,NA,NA,NA,,General Regulations,1454.750575,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Howard (Upper),YT_Howard Upper,Yukon,-136.839858,60.2477,861,200,-0.9,12.5,-14.1,1776,700,6877,7,122,7.35,18,0.015,157,21.36054422,NR,NA,NA,NA,NA,NA,,General Regulations,3747.384595,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Humphrey Lake,01150UOMI,Omineca,-125.6933622,55.59417306,992,196.6316775,0.2,11.6,-13.4,1506,697,6489,6,121,8.98,28.5,0.017657525,56,6.236080178,NR,NA,NA,NA,NA,NA,,,3816.706409,6.97,No,0,0,0,0,0,No,,4,rough,Known Road Acess,10.6,8.61,,1434.46,unclassified
Hutshi-Central,YT_Hutshi-Central,Yukon,-136.596014,61.107,750,324,-1.8,13,-16.2,2159,727,7215,7,117,5.13,17,0.017,166,32.35867446,NR,NA,NA,NA,NA,NA,,General Regulations,4781.717622,NA,No,No,No,No,Yes,No,No,"Small lake, moderate-low yield, small population size, remote likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
Hutshi-North,YT_Hutshi-North,Yukon,-136.568361,61.1679,750,510,-2,12.9,-16.5,2196,720,7263,7,116,1.81,2,0.009,50,27.62430939,NR,NA,NA,NA,NA,NA,,General Regulations,8027.962479,NA,No,No,No,No,Yes,No,No,"Small lake, moderate-low yield, small population size, remote likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
Ibex,YT_Ibex,Yukon,-135.473636,60.5068,1245,31,-2.2,10.7,-15.7,2014,501,7353,3,104,5.85,16,0.002,157,26.83760684,NR,NA,NA,NA,NA,NA,,General Regulations,896.456814,NA,No,No,No,No,Yes,No,No,"Very Small lake, extremely low yield, lake trout believed absent, relatively remote",2,NA,NA,NA,NA,NA,NA,NA
Indata Lake,00543NATR,Omineca,-125.2638431,55.35012569,875,668.9974723,1.1,12.8,-12.3,1366,842,6152,10,137,13.5,NA,0.090314659,54,4,FR,NA,NA,NA,NA,NA,,,11142.06286,3.98,No,3,0,0,1,0,No,Nation Lakes canoe chain campsites; trapper cabin on outlet creek,3,loose,Possible Road Access,767.49,2.19,,1457.49,unclassified
